#Wavelength (cm)	Flux (erg s-1 cm-3)
1.3715219372190657e-05	11782037089.556896
1.3722076981876752e-05	11769404509.931509
1.3728938020367689e-05	11756765614.01631
1.3735802489377871e-05	11744120398.653152
1.374267039062256e-05	11731468860.682312
1.374954172581787e-05	11718810996.942488
1.3756416496680779e-05	11706146804.270794
1.376329470492912e-05	11693476279.502762
1.3770176352281582e-05	11680799419.472347
1.3777061440457723e-05	11668116221.011917
1.3783949971177951e-05	11655426680.952257
1.379084194616354e-05	11642730796.122566
1.379773736713662e-05	11630028563.350462
1.3804636235820188e-05	11617319979.461971
1.3811538553938098e-05	11604605041.281536
1.3818444323215066e-05	11591883745.632011
1.3825353545376672e-05	11579156089.334661
1.383226622214936e-05	11566422069.209164
1.3839182355260433e-05	11553681682.073603
1.3846101946438063e-05	11540934924.744473
1.3853024997411282e-05	11528181794.036678
1.3859951509909987e-05	11515422286.763529
1.3866881485664942e-05	11502656399.736744
1.3873814926407774e-05	11489884129.766447
1.3880751833870977e-05	11477105473.661163
1.3887692209787912e-05	11464320428.227829
1.3894636055892805e-05	11451528990.271776
1.390158337392075e-05	11438731156.596746
1.390853416560771e-05	11425926924.004879
1.3915488432690513e-05	11413116289.296717
1.3922446176906858e-05	11400299249.271198
1.392940739999531e-05	11387475800.725668
1.3936372103695308e-05	11374645940.455864
1.3943340289747154e-05	11361809665.255926
1.3950311959892026e-05	11348966971.91839
1.3957287115871971e-05	11336117857.234182
1.3964265759429907e-05	11323262317.992634
1.3971247892309621e-05	11310400350.981464
1.3978233516255775e-05	11297531952.98679
1.3985222633013901e-05	11284657120.793118
1.3992215244330407e-05	11271775851.18335
1.399921135195257e-05	11258888140.938778
1.4006210957628546e-05	11275233031.229708
1.401321406310736e-05	11295300633.060204
1.4020220670138913e-05	11315378268.691616
1.4027230780473981e-05	11335465943.14084
1.4034244395864218e-05	11355563661.42729
1.404126151806215e-05	11375671428.572884
1.404828214882118e-05	11395789249.60205
1.405530628989559e-05	11415917129.541733
1.4062333943040536e-05	11436055073.421381
1.4069365110012055e-05	11456203086.272968
1.407639979256706e-05	11476361173.130985
1.4083437992463343e-05	11496529339.03243
1.4090479711459574e-05	11516707589.016825
1.4097524951315303e-05	11536895928.126213
1.410457371379096e-05	11557094361.405155
1.4111626000647855e-05	11577302893.90074
1.4118681813648178e-05	11597521530.662567
1.4125741154555002e-05	11617750276.74278
1.4132804025132278e-05	11637989137.19603
1.4139870427144844e-05	11658238117.07951
